
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-07-02 09:02:28 / ........................................................................................ ~ 2s
  2026-07-02 09:02:55 /dashboard ......................................................................... ~ 509.01ms
  2026-07-02 09:02:55 /api/fire-hydrants ....................................................................... ~ 3s
  2026-07-02 09:02:56 /api/fire-extinguishers .................................................................. ~ 2s
  2026-07-02 09:02:58 /api/fire-alarms ......................................................................... ~ 1s
  2026-07-02 09:02:59 /favicon.ico ............................................................................. ~ 1s
  2026-07-02 09:05:29 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 09:05:31 /api/users ............................................................................... ~ 1s
  2026-07-02 09:05:30 /api/locations ........................................................................... ~ 3s
  2026-07-02 09:05:31 /api/fire-hydrants ....................................................................... ~ 3s
  2026-07-02 09:05:59 /dashboard/points ....................................................................... ~ 24s
  2026-07-02 09:06:23 /api/locations ........................................................................... ~ 1s
  2026-07-02 09:07:30 /api/locations ........................................................................... ~ 1s
  2026-07-02 09:07:32 /api/locations ........................................................................... ~ 1s
  2026-07-02 09:32:18 /dashboard ......................................................................... ~ 510.15ms
  2026-07-02 09:32:18 /dashboard/fire-hydrant-locations .................................................. ~ 515.50ms
  2026-07-02 09:32:19 /dashboard/points .................................................................. ~ 510.57ms
  2026-07-02 09:32:37 /dashboard ......................................................................... ~ 511.90ms
  2026-07-02 09:32:37 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 09:32:37 /api/fire-extinguishers .................................................................. ~ 1s
  2026-07-02 09:32:37 /api/fire-alarms ......................................................................... ~ 1s
  2026-07-02 09:32:42 /dashboard/fire-hydrant-locations .................................................. ~ 504.55ms
  2026-07-02 09:32:43 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 09:32:53 /api/fire-hydrant-locations ........................................................ ~ 506.51ms
  2026-07-02 09:32:53 /api/fire-hydrant-locations ........................................................ ~ 502.33ms
  2026-07-02 09:33:00 /api/fire-hydrant-locations .......................................................... ~ 0.75ms
  2026-07-02 09:33:00 /api/fire-hydrant-locations .......................................................... ~ 3.29ms
  2026-07-02 09:33:08 /api/fire-hydrant-locations/1 ...................................................... ~ 519.08ms
